wOBA,Def,ISO+,wSB
0.52,-18.1,300,-19.3
0.493,-125.1,228,-1.6
0.481,73.9,211,-1.4
0.477,-90.7,228,-27.2
0.46,-54.2,216,-18.6
0.453,-42.5,223,-2.3
0.448,-95.6,164,0
0.447,-11.7,156,1.9
0.439,32.3,196,-0.5
0.435,-77.6,173,6
0.435,67.6,206,41.8
0.433,-58.2,210,2.7
0.432,-31.9,127,-7.1
0.43,-42.2,196,12.5
0.429,-27.8,190,-7.5
0.428,-6.1,199,-2.4
0.428,-78.1,194,21.8
0.427,-105.3,200,5.3
0.426,-49.7,143,6
0.421,-67.4,191,7.8
0.419,17.6,173,20.9
0.418,-276.6,170,-9.5
0.417,-56.9,163,-14.4
0.416,-267.4,165,-5.2
0.416,-79.9,162,-2
0.415,-138.5,217,-2.5
0.415,5.3,85,8.7
0.414,-72.9,188,-10.9
0.413,42.7,125,-8.5
0.412,-31.4,131,1.8
0.412,3.5,166,13.3
0.411,-54.2,169,-11.8
0.411,-108.4,181,13.4
0.41,-8.2,158,-10.4
0.41,-92.4,170,16.7
0.41,-26,142,-0.4
0.409,170.1,186,32.9
0.407,4.1,133,7.8
0.407,-18.9,147,2.1
0.406,93.7,116,29.7
0.406,-200,174,-7.7
0.405,-82.1,157,6
0.405,-133.5,132,-3.9
0.405,-97.7,137,-9.3
0.405,-48.8,114,8.2
0.405,105.1,122,-8.1
0.404,-0.4,140,-6.1
0.404,-45.7,168,3.6
0.404,-43.6,135,3.7
0.404,-131.5,182,15.5
0.403,-39.8,190,8.9
0.403,-78.4,118,15.8
0.403,-61.2,187,24.9
0.403,-48.7,180,-9.7
0.402,-43.2,147,-1.3
0.402,-51.2,169,10.1
0.402,-80,165,-6.8
0.402,-40.8,127,-9.4
0.402,-21.9,140,-1.3
0.401,-23.6,167,-2.6
0.4,-110,151,-6.9
0.4,-152.2,199,9.3
0.4,-119.4,138,-2.7
0.399,-35.2,142,-5.3
0.399,-28.5,130,0.5
0.399,-4.3,172,4
0.399,-32.5,112,-0.6
0.399,109.9,120,19.9
0.398,8.5,141,0.7
0.398,-30.1,142,-5.7
0.397,-35.3,141,6.2
0.397,0.8,163,-2.7
0.396,-145.5,176,-0.3
0.396,7,162,-2.4
0.396,-16.2,134,0.3
0.396,72.7,132,-8
0.395,69,160,28.4
0.395,150.7,209,-0.7
0.395,-27.7,110,-13
0.394,-17.9,136,-1.2
0.394,-58,118,-5
0.394,-18.9,132,-0.1
0.394,-223.6,150,-3.6
0.394,4.8,161,-2.1
0.393,-7.4,184,5.6
0.393,-70.3,112,13
0.393,-35.3,160,5
0.393,-154.4,156,7.7
